Code MH neu recoded,noga_abschnitt_long
G023,HANDEL; INSTANDHALTUNG UND REPARATUR VON MOTORFAHRZEUGE
G024,HANDEL; INSTANDHALTUNG UND REPARATUR VON MOTORFAHRZEUGE
G025,HANDEL; INSTANDHALTUNG UND REPARATUR VON MOTORFAHRZEUGE
G020,HANDEL; INSTANDHALTUNG UND REPARATUR VON MOTORFAHRZEUGE
G026,HANDEL; INSTANDHALTUNG UND REPARATUR VON MOTORFAHRZEUGE
G027,HANDEL; INSTANDHALTUNG UND REPARATUR VON MOTORFAHRZEUGE
H010,VERKEHR UND LAGEREI
H011,VERKEHR UND LAGEREI
H012,VERKEHR UND LAGEREI
H013,VERKEHR UND LAGEREI
H014,VERKEHR UND LAGEREI
H015,VERKEHR UND LAGEREI
H016,VERKEHR UND LAGEREI
H017,VERKEHR UND LAGEREI
H018,VERKEHR UND LAGEREI
I010,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
I011,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
I012,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
I013,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
I014,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
I015,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
I016,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
I017,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
I018,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE
J010,INFORMATION UND KOMMUNIKATION
J011,INFORMATION UND KOMMUNIKATION
J012,INFORMATION UND KOMMUNIKATION
J013,INFORMATION UND KOMMUNIKATION
J014,INFORMATION UND KOMMUNIKATION
J015,INFORMATION UND KOMMUNIKATION
J016,INFORMATION UND KOMMUNIKATION
J017,INFORMATION UND KOMMUNIKATION
J018,INFORMATION UND KOMMUNIKATION
